,cited_assignee,cited_publication_number,citing_publication_number,citing_assignee,cited_cpc_code,citing_cpc_code,filing_year
1327,KUNMING ELECTRICITY TRANSACTION CENTER CO LTD,CN-107292710-A,CN-108429260-A,BEIJING KEDONG ELECTRIC POWER CONTROL SYSTEM CO LTD,G06Q30/06,H02J3/008,2017
1328,SEARS BRANDS LLC,US-2017330274-A1,US-10423911-B2,BANK OF AMERICA,G06Q30/06,G06Q10/06,2016
1329,WAL MART STORES INC,US-2018068357-A1,US-2019147228-A1,CHAUDHURI ALOKE,G06Q30/06,G06K9/003,2017
1330,TRUECAR INC,US-2017109833-A1,US-10489809-B2,TRUECAR INC,G06Q30/06,G06Q30/06,2016
1331,BEIJING WEBIT EXPERTS NETWORK TECH CO LTD,CN-107146124-A,CN-109409472-A,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06K19/06,2017
1332,BEIJING JINGDONG CENTURY TRADING CO LTD,CN-107180371-A,US-10223731-B1,AMAZON TECH INC,G06Q30/06,G06Q30/06,2016
1333,MYRMEX INC,US-2017330269-A1,US-10549915-B1,VECNA TECH INC,G06Q30/06,G05D1/028,2017
1334,ADIDAS AG,US-2016364790-A1,US-9971984-B2,THEATRO LABS INC,G06Q30/06,H04W4/02,2016
1335,BANK OF AMERICA,US-9524524-B2,US-10484490-B2,BANK OF AMERICA,G06Q30/06,H04L67/22,2016
1336,WAL-MART STORES INC,US-2017287052-A1,US-10163070-B1,CAPITAL ONE SERVICES LLC,G06Q30/06,G06Q10/08,2017
1337,PLATFORM ORTHOPEDIC SOLUTIONS INC,WO-2018048902-A1,WO-2018127811-A1,PLATFORM ORTHOPEDIC SOLUTIONS INC,G06Q30/06,A61B5/107,2017
1338,COGNIZANT TECH SOLUTIONS INDIA PVT LTD,US-2017148082-A1,US-2018089242-A1,TWIGGLE LTD,G06Q30/06,G06F17/30,2016
1339,NIO USA INC,US-9946906-B2,US-2018018664-A1,CARROLL BRYAN,G06Q30/06,G06Q20/40,2016
1340,PAYPAL INC,US-2018174222-A1,US-2018248818-A1,NCR CORP,G06Q30/06,H04L51/02,2016
1341,ASCENT TECH INC,US-2016350885-A1,US-2018137107-A1,IBM,G06Q30/06,G06N20/00,2016
1342,SCATTERLAB INC,US-2017098269-A1,US-10313521-B2,GENESYC TELECOMMUNICATIONS LABORATORIES INC,G06Q30/06,H04M3/517,2016
1343,TENCENT TECH (SHENZHEN) CO LTD,CN-105719177-A,CN-108111386-A,TENPAY PAYMENT SCIENCE & TECH CO LTD,G06Q30/06,H04L51/32,2016
1344,WANG JAMES,US-2018253780-A1,US-10319054-B2,SMITH CREED,G06Q30/06,G06Q50/16,2018
1345,GM GLOBAL TECH OPERATIONS LLC,US-2017316516-A1,US-10303181-B1,SCHWIE WESLEY EDWARD,G06Q30/06,G05D1/029,2017
1346,CTRIP TRAVEL NETWORK TECH SHANGHAI CO LTD,CN-107240005-A,CN-108304720-A,HENGAN JIAXIN BEIJING TECH CO LTD,G06Q30/06,G06F21/56,2017
1347,PANASONIC IP MAN CO LTD,US-2016267579-A1,EP-3537615-A1,KWANG YANG MOTOR CO,G06Q30/06,H04B5/003,2016
1348,AMAZON TECH INC,US-2016196602-A1,US-9752874-B1,AMAZON TECH INC,G06Q30/06,G01B21/20,2016
1349,NIO USA INC,US-9946906-B2,US-10176517-B2,GORALNICK GARY,G06Q30/06,G06Q30/06,2016
1350,TOBKIN JOSHUA D,US-2016239675-A1,US-10148665-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,H04L63/10,2016
1351,RATHUS SPENCER A,US-2017169495-A1,US-10417260-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,G06F16/28,2016
1352,RESTAURANT REVOLUTION TECH INC,US-2017228814-A1,US-10341493-B1,SQUARE INC,G06Q30/06,H04M7/003,2017
1353,SHENZHEN SHENGLU IOT COMMUNICATION TECH CO LTD,CN-107424044-A,CN-109598862-A,HAINAN YILE IOT TECH CO LTD,G06Q30/06,G07F17/00,2017
1354,NEXTEV USA INC,US-2018009330-A1,US-10343539-B2,NICHICON CORP,G06Q30/06,B60L11/18,2016
1355,KIMREE HI-TECH INC,US-2016260156-A1,US-10076139-B2,JUUL LABS INC,G06Q30/06,A24F47/00,2016
1356,TRUECAR INC,US-2018158086-A1,US-10489810-B2,TRUECAR INC,G06Q30/06,G06Q30/06,2018
1357,SQUARE INC,US-9928540-B1,WO-2019213498-A1,RAKUTEN INC,G06Q30/06,G06Q10/06,2016
1358,WAL-MART STORES INC,US-2017124547-A1,US-10507787-B2,NURO INC,G06Q30/06,G07C9/008,2016
1359,CLOUDCAR INC,US-2016239903-A1,US-10401187-B2,HERE GLOBAL BV,G06Q30/06,G01C21/36,2016
1360,POINT INSIDE INC,US-2018365755-A1,US-10474992-B2,STANDARD COGNITION CORP,G06Q30/06,G06Q10/08,2017
1361,BEIJING JIECHU DONGFANG CULTURAL MEDIA CO LTD,CN-106991590-A,WO-2019237500-A1,GUANGDONG KANG YUN TECH LIMITED,G06Q30/06,G06F3/048,2017
1362,IBM,US-2017330266-A1,US-10423923-B2,IBM,G06Q30/06,G06Q10/08,2016
1363,TRUECAR INC,US-10217123-B2,US-10489809-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2018
1364,GO DADDY OPERATING CO LLC,US-2018144381-A1,US-2018026862-A1,NIPPON TELEGRAPH & TELEPHONE,G06Q30/06,H04L43/04,2018
1365,TRUECAR INC,US-2017109769-A1,US-10262344-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2016
1366,COMMERCE SIGNALS INC,US-2018096417-A1,US-10558985-B2,IMPACT RADIUS INC,G06Q30/06,G06Q30/02,2017
1367,MONSCIERGE INC,US-2017091845-A1,US-10162812-B2,BANK OF AMERICA,G06Q30/06,G06F40/30,2016
1368,PAYPAL INC,US-2017236189-A1,US-2018288562-A1,BANK OF AMERICA,G06Q30/06,H04W4/02,2016
1369,NEXTEV USA INC,US-2018012433-A1,US-10547454-B2,IBM,G06Q30/06,H04L9/324,2016
1370,SQUARE INC,US-9858603-B2,US-10410021-B1,SQUARE INC,G06Q30/06,G06Q20/32,2016
1371,SOON-SHIONG PATRICK,US-2016328788-A1,WO-2020014379-A1,VELIYANALLORE RAJESH,G06Q30/06,G06Q10/06,2016
1372,TOSHIBA TEC KK,US-2017032451-A1,EP-3594890-A1,TOSHIBA TEC KK,G06Q30/06,G06Q30/06,2016
1373,SHANXI XIDE MARTIN NETWORK TECH CO LTD,CN-106022897-A,CN-107331199-A,INFORMATION CENTER GUANGDONG POWER GRID CO LTD,G06Q30/06,G08G1/144,2016
1374,TRUECAR INC,US-2018158086-A1,US-10269031-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2018
1375,SHANGHAI CLOUD PICK INTELLIGNET TECH CO LTD,CN-108332829-A,WO-2019144691-A1,SHANGHAI YUNNA INTELLIGENT TECH CO LTD,G06Q30/06,G06K9/006,2018
1376,NEC CORP,US-2018232799-A1,US-2019303911-A1,NCR CORP,G06Q30/06,G06Q20/32,2016
1377,IBM,US-2017345084-A1,US-10378919-B2,FORD GLOBAL TECH LLC,G06Q30/06,H04W4/025,2016
1378,MARMOT JAGUAR CORP,US-2016300289-A1,US-2018357701-A1,NC3 Systems,G06Q30/06,G06Q30/06,2016
1379,CHEN YUNG YEN,US-2018300801-A1,US-10540710-B2,Sourceability North America LLC,G06Q30/06,G06Q30/06,2017
1380,EBAY INC,CN-108885702-A,US-10366144-B2,EBAY INC,G06Q30/06,G06F17/22,2017
1381,WAL-MART STORES INC,US-2017262926-A1,US-10410140-B1,AMAZON TECH INC,G06Q30/06,G06N20/20,2017
1382,DAMY JULIAN,US-2017132694-A1,US-10496244-B2,BEHR PROCESS CORP,G06Q30/06,G06F3/048,2016
1383,METAIL LTD,US-2016219265-A1,WO-2019147359-A1,WALMART APOLLO LLC,G06Q30/06,G06T19/00,2016
1384,SHAUH JACK,US-2017011440-A1,WO-2019246462-A1,PAG FINANCIAL INT LLC,G06Q30/06,G06Q20/34,2016
1385,EBAY INC,US-2017083966-A1,US-10313480-B2,BANK OF AMERICA,G06Q30/06,H04L67/32,2016
1386,KNACK LLC,US-2017076348-A1,US-2018210869-A1,SAP SE,G06Q30/06,G06F17/24,2016
1387,GlamST LLC,US-2018075524-A1,EP-3572973-A1,PERFECT CORP,G06Q30/06,G06K9/002,2017
1388,CINSAY INC,US-2017301003-A1,US-10506278-B2,SCORPOAST LLC,G06Q30/06,H04N21/43,2017
1389,SEN SAMUDRA,US-2016210680-A1,US-10535349-B2,BRAINOFT INC,G06Q30/06,G10L15/22,2016
1390,AGALMIC INC,US-2017300984-A1,US-10586266-B2,BIFOLCO MICHAEL,G06Q30/06,G06Q30/06,2017
1391,SUZHOU GOLDENPOINT INTERNET OF THINGS TECH CO LTD,CN-107067308-A,CN-107730874-A,SHENZHEN WATER WORLD CO LTD,G06Q30/06,G08G1/205,2017
1392,KOHL'S DEPT STORES INC,US-2017061525-A1,US-10057715-B1,HONEYWELL INT INC,G06Q30/06,H04W4/023,2016
1393,NEXTEV USA INC,US-2018012197-A1,US-10262469-B2,NIO USA INC,G06Q30/06,G06Q30/06,2016
1394,CITIZEN INC,US-9773267-B2,US-2017372138-A1,FACEBOOK INC,G06Q30/06,G06K9/006,2016
1395,ESMAILZADEH ARASH,US-2016379291-A1,US-2018137457-A1,SAP SE,G06Q30/06,G06Q10/08,2016
1396,RIGHTSIDE DIGITAL TECH CO LTD,CN-106097590-A,CN-106127548-A,ZHEJIANG RIGHT DIGITAL TECH CO LTD,G06Q30/06,G06Q30/06,2016
1397,SQUARE INC,US-2018096414-A1,US-10489738-B2,WALMART APOLLO LLC,G06Q30/06,G06Q10/08,2016
1398,Q2 SOFTWARE INC,US-2017053336-A1,US-10467307-B1,AMAZON TECH INC,G06Q30/06,G06F16/95,2016
1399,HUAWEI TECH CO LTD,US-2017083965-A1,US-10430481-B2,YANDEX EUROPE AG,G06Q30/06,G06F16/95,2016
1400,KATCHER ROBERT,US-2016267565-A1,US-10239094-B2,IKAN HOLDINGS LLC,G06Q30/06,B07C5/34,2016
1401,IBM,US-2017206584-A1,WO-2020038351-A1,SHANGHAI ZHANGMEN SCIENCE AND TECH CO LTD,G06Q30/06,G06Q30/06,2016
1402,GRANDHI ROOPNATH,US-2018349981-A1,US-2017330256-A1,TOSHIBA GLOBAL COMMERCE SOLUTIONS HOLDINGS CORP,G06Q30/06,G06Q30/06,2017
1403,NEXTEV USA INC,US-2018012196-A1,US-10262469-B2,NIO USA INC,G06Q30/06,G07C5/008,2016
1404,UNIV JINAN,CN-106022873-A,CN-106981000-A,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/06,2016
1405,XEROX CORP,US-2018218426-A1,US-10476662-B2,UNIV CITY HONG KONG,G06Q30/06,H04L9/06,2017
1406,GRABANGO CO,US-2018240180-A1,US-10474992-B2,STANDARD COGNITION CORP,G06Q30/06,G06Q10/08,2018
1407,MCKAY REGAN JARROD,US-2018025403-A1,US-10530775-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,H04L63/10,2016
1408,ADIDAS AG,US-2016364790-A1,US-2016371756-A1,T-MOBILE USA INC,G06Q30/06,G06Q30/06,2016
1409,WAL-MART STORES INC,US-2017213271-A1,US-10445471-B2,WAL MART STORES INC,G06Q30/06,G06F19/34,2016
1410,AZOVA INC,WO-2016144784-A1,US-10552430-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,G06F16/24,2016
1411,NEXTEV USA INC,US-2018012425-A1,US-10467623-B2,PURVES THOMAS,G06Q30/06,G06Q20/40,2016
1412,NIKE INC,US-2017330257-A1,US-10078909-B1,FACEBOOK INC,G06Q30/06,G06T11/60,2017
1413,BEIJING XIAODU INF TECH CO LTD,CN-107679945-A,WO-2019174395-A1,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/02,2017
1414,GIFTS FOR YOU LLC,US-2017323362-A1,US-10347025-B2,IBM,G06Q30/06,G06T11/60,2016
1415,ADIDAS AG,US-2016364790-A1,US-10134001-B2,THEATRO LABS INC,G06Q30/06,G06Q10/06,2016
1416,BEIJING SCIENCE & TECH CO THREE FAST ONLINE,CN-107220876-A,CN-109446966-A,YE YUANTING,G06Q30/06,G06K9/006,2017
1417,WAL-MART STORES INC,US-2017124547-A1,US-10331124-B2,NURO INC,G06Q30/06,G05D1/002,2016
1418,CAFE X TECH LTD,US-2017011442-A1,WO-2019109137-A1,Aabak Thoughts Pty Ltd,G06Q30/06,A47J31/00,2016
1419,WAL-MART STORES INC,US-2017186073-A1,WO-2019075276-A1,AQUIFI INC,G06Q30/06,G06K9/006,2016
1420,WUHAN ZHONGSHI AUTOMOBILE SERVICE CO LTD,CN-106952126-A,CN-109670810-A,SINOPEC HONG KONG CO LTD,G06Q30/06,G06Q20/18,2017
1421,KOUKOUXIANGCHUAN BEIJING NETWORK TECH CO LTD,CN-108280748-A,WO-2019158068-A1,KOU KOU XIANG CHUAN BEIJING NETWORK TECH CO LTD,G06Q30/06,G06Q30/06,2018
1422,TRUECAR INC,US-2019180306-A1,US-10489809-B2,TRUECAR INC,G06Q30/06,G06Q30/06,2019
1423,A9 COM INC,US-10109051-B1,US-10379721-B1,A9 COM INC,G06Q30/06,G06F3/048,2016
1424,LEE JUNG WOON,KR-20170101696-A,KR-20190032936-A,ELTOV CO LTD,G06Q30/06,G06Q10/02,2016
1425,WEBAD CAMPAIGN ANALYTICS LP,US-2019012730-A1,US-10475246-B1,META VIEW INC,G06Q30/06,G06T19/00,2018
1426,FORQ INC,WO-2017075498-A1,FR-3082977-A1,ALANTAYA,G06Q30/06,G06Q10/04,2016
1427,WAL-MART STORES INC,US-2017124547-A1,WO-2019023521-A1,NURO INC,G06Q30/06,G05D1/022,2016
1428,WAL-MART STORES INC,US-2017124547-A1,US-10328769-B2,NURO INC,G06Q30/06,G06Q10/08,2016
1429,MIT AUTOMOBILE SERVICE CO LTD,CN-107341700-A,CN-108769610-A,SUZHOU TUCHIAN ELECTRONIC TECH CO LTD,G06Q30/06,H04N7/181,2017
1430,HANLON SARAH LAUREL,US-2017076349-A1,US-2018329722-A1,ACCENTURE GLOBAL SOLUTIONS LTD,G06Q30/06,G06F9/453,2016
1431,LIM HOON-KYU,US-2017331898-A1,US-2017331906-A1,KOREA ADVANCED INST SCI & TECH,G06Q30/06,H04L67/16,2016
1432,IBM,US-2017345084-A1,US-10378919-B2,FORD GLOBAL TECH LLC,G06Q30/06,B60R16/02,2016
1433,GLAMHIVE INC,US-2019019235-A1,US-2018374128-A1,PERFECT365 TECH COMPANY LTD,G06Q30/06,G06Q30/02,2018
1434,BAE TAE WOONG,KR-20180042823-A,KR-20190098077-A,KIM SUN HO,G06Q30/06,G06Q50/10,2018
1435,BEIJING DIDI INFINITY SCIENCE AND TECHNOLOGY LTD,WO-2016124118-A1,US-10458806-B2,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,G06Q30/06,G06Q30/02,2016
1436,EBAY INC,US-2016117407-A1,US-10083243-B2,EBAY INC,G06Q30/06,G06F17/30,2016
1437,LOOP COMMERCE INC,US-2018165750-A1,US-10373236-B2,LOOP COMMERCE INC,G06Q30/06,G06Q30/06,2017
1438,CAFE X TECH LTD,US-2017011442-A1,US-10367776-B2,IBM,G06Q30/06,H04L51/32,2016
1439,PAYPAL INC,US-2016148299-A1,WO-2018031860-A1,Axon Vibe AG,G06Q30/06,H04L67/18,2016
1440,CLEAR RES CORP,US-2016225053-A1,US-10163269-B2,ADOBE SYSTEMS INC,G06Q30/06,G06T19/00,2016
1441,ALIBABA GROUP HOLDING LTD,CN-108564433-A,WO-2019179160-A1,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/06,2018
1442,SK PLANET CO LTD,KR-20180047489-A,KR-102008696-B1,PAYCRUX COMPANY INC,G06Q30/06,G06Q30/02,2016
1443,ROHACH MILLER KATHERINE,US-2017076349-A1,US-2018329722-A1,ACCENTURE GLOBAL SOLUTIONS LTD,G06Q30/06,G06F9/444,2016
1444,SEARS BRANDS LLC,US-2017323371-A1,US-2017352041-A1,EPIANCE SOFTWARE PVT LTD,G06Q30/06,G06Q30/02,2016
1445,WAL-MART STORES INC,US-2017046773-A1,US-10332067-B2,TATA CONSULTANCY SERVICES LTD,G06Q30/06,G06Q10/08,2016
1446,BANK OF AMERICA,US-2018150899-A1,US-10509462-B2,HISCENE INFORMATION TECH CO LTD,G06Q30/06,G06F3/011,2016
1447,VAST COM INC,US-9710843-B2,US-10268704-B1,VAST COM INC,G06Q30/06,G06F17/30,2016
1448,EBAY INC,US-2019286950-A1,US-10552714-B2,EBAY INC,G06Q30/06,G06Q30/06,2018
1449,EBAY INC,US-2017122746-A1,US-10360760-B2,ZONAL SYSTEMS LLC,G06Q30/06,G07F17/32,2017
1450,BOSCH AUTOMOTIVE SERVICE SOLUTIONS INC,US-2017193576-A1,US-10152836-B2,MITCHELL INT INC,G06Q30/06,G07C5/085,2016
1451,IP OVERSIGHT CORP,US-2019080392-A1,US-10417217-B2,CHICAGO MERCANTILE EXCHANGE INC,G06Q30/06,G06F16/23,2018
1452,NHN ENTERTAINMENT CORP,KR-20180088547-A,KR-101998862-B1,PARK JE HYUN,G06Q30/06,G06Q50/30,2017
1453,BEIJING DIDI INFINITY TECH AND DEV CO LTD,WO-2017028821-A1,WO-2019037549-A1,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,G06Q30/06,G01C21/34,2016
1454,UNIV SHENZHEN,CN-106910113-A,CN-108926213-A,LIANJIA BEIJING TECH CO LTD,G06Q30/06,A47G23/08,2017
1455,WAL MART STORES INC,US-2018218440-A1,WO-2019165416-A1,SHENDRE AMEYA AJAY,G06Q30/06,G06Q10/08,2017
1456,DIMENSIONALMECHANICS INC,US-2017004567-A1,US-2017236334-A1,BOE TECHNOLOGY GROUP CO LTD,G06Q30/06,G06T19/00,2016
1457,TRUECAR INC,US-10269030-B2,US-10489809-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2016
1458,WAL-MART STORES INC,US-2017243279-A1,US-2018137457-A1,SAP SE,G06Q30/06,G06Q10/08,2017
1459,TOP BRANDS TIRE & WHEEL DBA AUTO REPAIR CO,US-2016307247-A1,US-2017364869-A1,TOYOTA ENG & MFG NORTH AMERICA,G06Q30/06,G06Q10/10,2016
1460,WAL-MART STORES INC,US-2017178222-A1,US-2019051169-A1,INTEL CORP,G06Q30/06,G08G1/095,2016
1461,KO JAE IL,KR-20170132465-A,KR-101943618-B1,HUH JIN KYUNG,G06Q30/06,G06Q50/08,2016
1462,CHOW EDMOND K,US-2016225059-A1,US-10102194-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,G06F17/24,2016
1463,VIVINT INC,US-2017236193-A1,US-10498538-B2,AMAZON TECH INC,G06Q30/06,G07C9/005,2017
1464,MICROSOFT TECHNOLOGY LICENSING LLC,US-2017352082-A1,EP-3605413-A1,VOLKSWAGEN AG,G06Q30/06,G06Q10/00,2016
1465,OGILVY IAN CHARLES,US-2016314517-A1,US-10057882-B1,SPRINT COMMUNICATIONS CO LP,G06Q30/06,H04W4/60,2016
1466,E-RADIO USA INC,US-2017069008-A1,WO-2018197811-A1,CAMEON,G06Q30/06,G08C15/06,2016
1467,24/7 CUSTOMER INC,US-2016217515-A1,WO-2019164917-A1,[24]7 AI INC,G06Q30/06,G06Q30/02,2016
1468,24 7 CUSTOMER INC,US-2016210682-A1,US-2018053240-A1,WAL MART STORES INC,G06Q30/06,G06Q30/06,2016
1469,LANDRY FORREST,US-2017278180-A1,US-10497156-B2,EXOANALYTIC SOLUTIONS INC,G06Q30/06,G06T17/00,2017
1470,WAL-MART STORES INC,US-2017221123-A1,US-10445471-B2,WALMART APOLLO LLC,G06Q30/06,G06F19/34,2016
1471,JAKKS PACIFIC INC,US-2017076343-A1,US-D826069-S,SUGARFINA INC,G06Q30/06,B65D77/04,2016
1472,WAL-MART STORES INC,US-2017213271-A1,US-10445473-B2,WAL MART STORES INC,G06Q30/06,G06F19/34,2016
1473,RAM PRANIL,US-2016148307-A1,US-10579956-B1,AMAZON TECH INC,G06Q30/06,G06Q10/08,2016
1474,XII LAB,KR-101783476-B1,KR-102071199-B1,RYOO KYUNG HEE,G06Q30/06,G06Q30/06,2016
1475,GOGORO INC,US-2017039631-A1,CN-107480972-A,ELECTRIC POWER RES INST STATE GRID HENAN ELECTRIC POWER CO,G06Q30/06,G06Q20/14,2016
1476,CINSAY INC,US-2017301003-A1,WO-2019152114-A3,WALMART APOLLO LLC,G06Q30/06,G06Q10/08,2017
