,assignee_name,pub_number,cpc_code,filing_date,filing_year,country_code
217,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,CN-108121484-A,G06Q30/06,20161129,2016,CN
218,GUANGZHOU CEPREI CERTIFICATION BODY SERVICE CO LTD,CN-106651519-A,G06Q30/06,20161223,2016,CN
219,FUJITSU LTD,JP-2017215682-A,G06Q30/06,20160530,2016,JP
220,NIO USA INC,US-10354460-B2,G06Q30/06,20161231,2016,US
221,ALLSTATE INSURANCE CO,US-2018053237-A1,G06Q30/06,20160818,2016,US
222,METAIL LTD,US-2016219265-A1,G06Q30/06,20160121,2016,US
223,COUPANG CORP,KR-101783893-B1,G06Q30/06,20160519,2016,KR
224,SUMPLUS CO LTD,KR-20180027869-A,G06Q30/06,20160907,2016,KR
225,CHEN BAINIAN,WO-2017181426-A1,G06Q30/06,20160422,2016,WO
226,KO HYUN SUNG,KR-101779757-B1,G06Q30/06,20160419,2016,KR
227,LEE JAE WON,KR-20180009818-A,G06Q30/06,20160704,2016,KR
228,PINTEREST INC,WO-2016183233-A1,G06Q30/06,20160511,2016,WO
229,EBAY INC,EP-3298516-A4,G06Q30/06,20160519,2016,EP
230,CATERPILLAR INC,CN-108027842-A,G06Q30/06,20160908,2016,CN
231,ANHUI AVATAR TECH CO LTD,CN-106530049-A,G06Q30/06,20161101,2016,CN
232,MICROSOFT TECHNOLOGY LICENSING LLC,US-2017287038-A1,G06Q30/06,20160331,2016,US
233,DEALER DOT COM INC,US-2016328780-A1,G06Q30/06,20160722,2016,US
234,OWENS CORNING INTELLECTUAL CAPITAL LLC,US-2016356733-A1,G06Q30/06,20160608,2016,US
235,WAL-MART STORES INC,US-2017221124-A1,G06Q30/06,20160129,2016,US
236,TENCENT TECH SHENZHEN CO LTD,KR-20180004224-A,G06Q30/06,20160819,2016,KR
237,AMAZON TECH INC,US-10424001-B1,G06Q30/06,20160622,2016,US
238,NAM JEONG NAM,KR-20170099480-A,G06Q30/06,20160224,2016,KR
239,JOALOGIS CO LTD,WO-2017034171-A1,G06Q30/06,20160801,2016,WO
240,FUJIFILM CORP,WO-2016152277-A1,G06Q30/06,20160205,2016,WO
241,THE STAINLESS STEEL MONUMENT COMPANY PTY LTD,WO-2017075655-A1,G06Q30/06,20161102,2016,WO
242,TENCENT TECH (BEIJING) COMPANY LIMITED,CN-107153978-A,G06Q30/06,20160302,2016,CN
243,PELLA CORP,CA-2934751-A1,G06Q30/06,20160630,2016,CA
244,CARTQUE INC,US-2016300279-A1,G06Q30/06,20160617,2016,US
245,RAIN CHECK IT PTY LTD,AU-2016367715-A1,G06Q30/06,20161212,2016,AU
246,HANGZHOU TENGSEN INFORMATION TECH CO LTD,CN-106127561-A,G06Q30/06,20160701,2016,CN
247,CA INC,US-2018047080-A1,G06Q30/06,20160812,2016,US
248,CBS INTERACTIVE INC,US-10304116-B2,G06Q30/06,20160622,2016,US
249,SYNERGY BLUE LLC,US-2016239904-A1,G06Q30/06,20160216,2016,US
250,MAGGIO FRANK S,US-2017024790-A1,G06Q30/06,20160720,2016,US
251,AMAZON TECH INC,US-2016189257-A1,G06Q30/06,20160309,2016,US
252,TRANE INT INC,US-2017046766-A1,G06Q30/06,20160815,2016,US
253,STRIPE INC,WO-2017027197-A1,G06Q30/06,20160725,2016,WO
254,EKSESS BIZNESS GRUP INTERNESHNL LLS,RU-2706174-C1,G06Q30/06,20161013,2016,RU
255,INTEL CORP,WO-2017023454-A1,G06Q30/06,20160629,2016,WO
256,KWON NAM YEOL,KR-101759285-B1,G06Q30/06,20160513,2016,KR
257,BLD ORIENTAL CO LTD,WO-2017115626-A1,G06Q30/06,20161207,2016,WO
258,GOOGLE LLC,EP-3452918-A1,G06Q30/06,20161229,2016,EP
259,ALIBABA GROUP HOLDING LTD,CN-107678808-A,G06Q30/06,20160802,2016,CN
260,STAGING DESIGN INC,EP-3062281-A1,G06Q30/06,20160212,2016,EP
261,WAL-MART STORES INC,CA-2944288-A1,G06Q30/06,20161005,2016,CA
262,NEXTEV USA INC,US-2018012048-A1,G06Q30/06,20161231,2016,US
263,HAN SANG KWUON,KR-20180004981-A,G06Q30/06,20160705,2016,KR
264,ADOBE SYSTEMS INC,US-2017337600-A1,G06Q30/06,20160520,2016,US
265,MONTICELLO ENTPR LLC,US-2016155171-A1,G06Q30/06,20160208,2016,US
266,EBAY INC,US-2017262925-A1,G06Q30/06,20160309,2016,US
267,CLUTCH TECH LLC,US-2017004560-A1,G06Q30/06,20160916,2016,US
268,KIM HANG MOK,KR-101686194-B1,G06Q30/06,20160205,2016,KR
269,TENCENT TECH SHENZHEN CO LTD,KR-20180011257-A,G06Q30/06,20160516,2016,KR
270,AZOVA INC,WO-2016144784-A1,G06Q30/06,20160304,2016,WO
271,NEMOCOMMERCE CO LTD,KR-20180049642-A,G06Q30/06,20161103,2016,KR
272,SONG KYO SEOK,KR-20180035632-A,G06Q30/06,20160929,2016,KR
273,MASTERCARD INTERNATIONAL INC,SG-10201603602U-A,G06Q30/06,20160506,2016,SG
274,AMAZON TECH INC,JP-2016042395-A,G06Q30/06,20160104,2016,JP
275,WALMART APOLLO LLC,GB-2558449-A,G06Q30/06,20160912,2016,GB
276,LEADER TECH (BEIJING) DIGITAL TECH CO LTD,CN-105844507-A,G06Q30/06,20160321,2016,CN
277,TENCENT TECH SHENZHEN CO LTD,EP-3291161-A4,G06Q30/06,20160819,2016,EP
278,Aliro Group,US-2017364980-A1,G06Q30/06,20160616,2016,US
279,RAKUTEN INC,US-2016328783-A1,G06Q30/06,20160718,2016,US
280,FORD GLOBAL TECH LLC,US-2017221116-A1,G06Q30/06,20160201,2016,US
281,BANK OF AMERICA,US-9524524-B2,G06Q30/06,20160216,2016,US
282,EXPEDIA INC,US-2017076350-A1,G06Q30/06,20161122,2016,US
283,SHENZHEN TENGYUNSHIJI INFORMATION CO LTD,CN-106339370-A,G06Q30/06,20160825,2016,CN
284,SARONIKOS TRADING & SERVICES UNIPESSOAL LDA,WO-2017207062-A1,G06Q30/06,20160603,2016,WO
285,FANGCHENGGANG LVHUAYUAN AGRICULTURE AND FORESTRY SCIENCE AND TECH CO LTD,CN-106408395-A,G06Q30/06,20160928,2016,CN
286,FORD GLOBAL TECH LLC,GB-201607585-D0,G06Q30/06,20160429,2016,GB
287,ALIBABA GROUP HOLDING LTD,CN-107818487-A,G06Q30/06,20160912,2016,CN
288,BEIJING XIAOMI MOBILE SOFTWARE CO LTD,CN-106134163-A,G06Q30/06,20160622,2016,CN
289,FUJI XEROX CO LTD,JP-2018005545-A,G06Q30/06,20160701,2016,JP
290,PACCAR INC,US-2016132951-A1,G06Q30/06,20160115,2016,US
291,BESPOKE INC,US-2017068121-A1,G06Q30/06,20161118,2016,US
292,LE HOLDINGS (BEIJING) CO LTD,US-2017169496-A1,G06Q30/06,20160829,2016,US
293,AT & T IP I LP,US-2017011443-A1,G06Q30/06,20160921,2016,US
294,STAPLES INC,US-2017148072-A1,G06Q30/06,20161121,2016,US
295,TERANOVA KOREA,KR-20180025455-A,G06Q30/06,20160831,2016,KR
296,AGORA INTELLIGENCE INC,KR-20180008422-A,G06Q30/06,20160519,2016,KR
297,EBAY INC,KR-20180039695-A,G06Q30/06,20160811,2016,KR
298,LONG FAN,CN-106204187-A,G06Q30/06,20160624,2016,CN
299,CHOW TAI FOOK JEWELLERY CO LTD,HK-1224414-A1,G06Q30/06,20161102,2016,HK
300,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-106296367-A,G06Q30/06,20160819,2016,CN
301,RUI YUNZHE,CN-106651514-A,G06Q30/06,20161202,2016,CN
302,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,CN-107767206-A,G06Q30/06,20160823,2016,CN
303,WAL MART STORES INC,US-2018121993-A1,G06Q30/06,20161031,2016,US
304,GOOGLE INC,US-2017337594-A1,G06Q30/06,20160930,2016,US
305,TOUCHTUNES MUSIC CORP,US-10192257-B2,G06Q30/06,20160414,2016,US
306,ALDELO L P,US-2018108076-A1,G06Q30/06,20161017,2016,US
307,FISH ROBERT D,US-2017161811-A1,G06Q30/06,20161121,2016,US
308,TRUECAR INC,US-2016364783-A1,G06Q30/06,20160826,2016,US
309,IBM,US-2017337605-A1,G06Q30/06,20160518,2016,US
310,HUH SEUNG HOON,KR-20180006159-A,G06Q30/06,20160708,2016,KR
311,HERKEN ROLF,US-2018144380-A1,G06Q30/06,20160312,2016,US
312,SHENZHEN BOKE TIME TECH DEV CO LTD,CN-106846093-A,G06Q30/06,20161229,2016,CN
313,WESSEX TECHNOLOGY OPTO ELECTRONIC PRODUCTS LTD,WO-2016120627-A1,G06Q30/06,20160128,2016,WO
314,SEO CHEOL WOOK,KR-20170124307-A,G06Q30/06,20160502,2016,KR
315,RAKUTEN INC,WO-2017141384-A1,G06Q30/06,20160218,2016,WO
